,ft,bt,km,transmission,ownerNo,oem,model,modelYear,price,Registration Year,Insurance Validity,Fuel Type,Seats,Ownership,Transmission,Year of Manufacture,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Turbo Charger,Super Charger,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,City
936,Diesel,Hatchback,120000,Manual,1,Fiat,Fiat Punto,2014,350000.0,2014,Third Party insurance,Diesel,5,First Owner,Manual,2014,20.3,1248.0,82bhp@6000rpm,197.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
937,Petrol,SUV,20000,Automatic,1,Hyundai,Hyundai Alcazar,2022,2350000.0,2022,Third Party insurance,Petrol,6,First Owner,Automatic,2022,14.2,1999.0,82bhp@6000rpm,191.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
939,Petrol,Hatchback,50000,Manual,2,Hyundai,Hyundai EON,2012,229999.99999999997,2012,Third Party insurance,Petrol,5,Second Owner,Manual,2012,21.1,814.0,82bhp@6000rpm,74.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
940,Petrol,SUV,51338,Manual,1,Honda,Honda WR-V,2018,875000.0,2019,Comprehensive,Petrol,5,First Owner,Manual,2018,17.5,1199.0,82bhp@6000rpm,110.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
941,Petrol,SUV,97334,Manual,1,Hyundai,Hyundai Creta,2017,925000.0,2017,Comprehensive,Petrol,5,First Owner,Manual,2017,15.29,1591.0,82bhp@6000rpm,151.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
942,Petrol,Hatchback,20000,Manual,1,Hyundai,Hyundai i20,2020,700000.0,2020,Third Party insurance,Petrol,5,First Owner,Manual,2020,18.6,1197.0,82bhp@6000rpm,117.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
943,Petrol,SUV,53031,Manual,2,Hyundai,Hyundai Creta,2016,930000.0000000001,2016,Comprehensive,Petrol,5,Second Owner,Manual,2016,13.0,1591.0,82bhp@6000rpm,151.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
944,Petrol,SUV,51580,Manual,2,Hyundai,Hyundai Creta,2016,898000.0,2016,Comprehensive,Petrol,5,Second Owner,Manual,2016,13.0,1591.0,82bhp@6000rpm,151.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
945,Diesel,Sedan,57000,Automatic,2,Mercedes-Benz,Mercedes-Benz CLA,2017,2395000.0,2017,Comprehensive,Diesel,5,Second Owner,Automatic,2017,17.9,2143.0,82bhp@6000rpm,300.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
946,Petrol,Hatchback,23920,Manual,1,Maruti,Maruti S-Presso,2020,449000.0,2020,Third Party insurance,Petrol,5,First Owner,Manual,2020,21.7,998.0,82bhp@6000rpm,89.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
